iter	Passed	Remaining
210	27973	634897
211	28097	634573
212	28250	634902
213	28445	636166
214	28477	633785
215	28508	631408
216	28661	631731
217	28820	632191
218	28996	633018
219	29160	633572
220	29312	633857
221	29496	634839
222	29617	634454
223	29760	634533
224	29796	632351
225	29998	633674
226	30149	633930
227	30301	634206
228	30481	635059
229	30645	635558
230	30793	635736
231	31005	637217
232	31147	637260
233	31337	638266
234	31374	636167
235	31417	634202
236	31473	632524
237	31625	632767
238	31666	630819
239	31856	631822
240	32047	632832
241	32213	633363
242	32334	632978
243	32480	633104
244	32602	632753
245	32767	633235
246	32957	634191
247	33107	634377
248	33285	635106
249	33473	635993
250	33619	636087
251	33803	636905
252	33933	636685
253	34063	636482
254	34095	634445
255	34312	635851
256	34495	636619
257	34517	634417
258	34685	634913
259	34883	635954
260	35030	636053
261	35059	634010
262	35107	632343
263	35300	633275
264	35506	634419
265	35530	632328
266	35632	631651
267	35760	631408
268	35936	632031
269	36090	632248
270	36181	631369
271	36310	631156
272	36473	631535
273	36501	629577
274	36592	628726
275	36702	628191
276	36847	628273
277	36974	628041
278	37109	627942
279	37162	626459
280	37350	627250
281	37559	628391
282	37681	628077
283	37716	626298
284	37840	626024
285	38003	626400
286	38136	626259
287	38312	626834
288	38345	625078
289	38461	624662
290	38563	624040
291	38595	622279
292	38625	620514
293	38658	618798
294	38683	616967
295	38786	616388
296	38883	615719
297	38981	615069
298	39077	614385
299	39178	613789
300	39313	613736
301	39428	613354
302	39527	612745
303	39637	612298
304	39731	611607
305	39827	610948
306	39849	609165
307	39948	608561
308	39972	606827
309	40068	606197
310	40115	604830
311	40212	604221
312	40309	603619
313	40428	603342
314	40529	602788
315	40658	602673
316	40779	602426
317	40880	601898
318	41016	601870
319	41041	600232
320	41082	598829
321	41181	598282
322	41283	597779
323	41378	597179
324	41479	596670
325	41596	596393
326	41786	597151
327	41921	597131
328	42025	596666
329	42149	596478
330	42258	596087
331	42394	596070
332	42511	595792
333	42619	595391
334	42664	594114
335	42689	592569
336	42701	590856
337	42742	589549
338	42887	589666
339	43024	589682
340	43170	589830
341	43309	589868
342	43488	590459
343	43579	589843
344	43783	590758
345	43928	590873
346	44052	590713
347	44083	589301
348	44098	587682
349	44140	586433
350	44170	585039
351	44201	583667
352	44298	583163
353	44449	583364
354	44555	582982
355	44636	582281
356	44747	581966
357	44768	580483
358	44871	580081
359	44976	579693
360	45018	578503
361	45034	576992
362	45165	576951
363	45307	577049
364	45405	576591
365	45419	575068
366	45522	574678
367	45634	574400
368	45730	573922
369	45830	573506
370	45883	572488
371	45987	572119
372	46094	571789
373	46191	571341
374	46300	571042
375	46386	570457
376	46542	570726
377	46659	570525
378	46763	570165
379	46865	569780
380	46974	569488
381	47029	568543
382	47128	568129
383	47145	566724
384	47264	566554
385	47370	566234
386	47383	564805
387	47507	564705
388	47627	564555
389	47740	564315
390	47838	563904
391	47855	562549
392	47939	561977
393	48043	561648
394	48137	561200
395	48202	560419
396	48217	559056
397	48288	558355
398	48301	556981
